fid,field_1,x,y,VRYieldVOl,row,col,CropSeason,harvestID,CropName,Relative_Elevation1,Slope1,TRI1,TPI1,Elevation1,SeedingDensity,SeedingDensity_missing,Seeding_Variety1,Application_1_N_rate,Application_1_ID,Application_1_N_date,Application_2_N_rate,Application_2_ID,Application_2_N_date,Application_3_N_rate,Application_3_ID,Application_3_N_date,Application_4_N_rate,Application_4_ID,Application_4_N_date,Application_5_N_rate,Application_5_ID,Application_5_N_date,Application_6_N_rate,Application_6_ID,Application_6_N_date,Application_7_N_rate,Application_7_ID,Application_7_N_date,Application_8_N_rate,Application_8_ID,Application_8_N_date,Application_9_N_rate,Application_9_ID,Application_9_N_date,Application_10_N_rate,Application_10_ID,Application_10_N_date,ph_mean_30_60,clay_mean_30_60,silt_mean_30_60,sand_mean_30_60,ksat_mean_30_60,om_mean_30_60,GDD2,Precipitation2,GDD3,Precipitation3,GDD4,Precipitation4,GDD5,Precipitation5,GDD6,Precipitation6,GDD7,Precipitation7,GDD8,Precipitation8,GDD9,Precipitation9,GDD10,Precipitation10,GDD11,Precipitation11,Trait1,Trait2,Trait3,Trait4,Trait5,FIPSCode,PlantingDay1,HarvestDay,GridId
"460","459",-97.69534697,27.66759297,97.68814,"60","15","2008",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwYQ,SORGHUM,-1.329886556,0.025160816,0.995106101,1.16398716,53.03700638,"63000","0",84G62,,,,,,,"0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMg,"115",,,,,,,,,,0.226962795,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMw,"181","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmYg,"125","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZA,"150",78.71428928,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZg,"74",7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,"0","0","0","0","0","-99","68","187","8"
"458","457",-97.69554697,27.66759297,86.67109,"60","13","2008",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwYQ,SORGHUM,-1.303924918,0.022017891,0.914900541,1.484928131,53.07309723,"63000","0",84G62,,,,,,,"0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMg,"115",,,,,,,,,,0.221480618,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMw,"181","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmYg,"125","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZA,"150",87.89328918,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZg,"74",7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,"0","0","0","0","0","-99","68","187","8"
"459","458",-97.69544697,27.66759297,95.69981,"60","14","2008",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwYQ,SORGHUM,-1.216603041,0.022010706,0.90528363,1.54282558,53.19448853,"63000","0",84G62,,,,,,,"0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMg,"115",,,,,,,,,,0.236828136,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMw,"181","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmYg,"125","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZA,"150",88.81696472,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZg,"74",7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,"0","0","0","0","0","-99","68","187","8"
"457","456",-97.69564697,27.66759297,117.68721,"60","12","2008",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwYQ,SORGHUM,-1.329886556,0.030325167,0.988090396,1.481655478,53.03700638,"63000","0",84G62,,,,,,,"0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMg,"115",,,,,,,,,,0.314412422,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMw,"181","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmYg,"125","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZA,"150",112.9190666,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZg,"74",7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,"0","0","0","0","0","-99","68","187","8"
"456","455",-97.69574697,27.66759297,84.010605,"60","11","2008",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwYQ,SORGHUM,-1.336966276,0.025231726,1.108983874,1.448294282,53.02716446,"63000","0",84G62,,,,,,,"0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMg,"115",,,,,,,,,,0.252449341,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMw,"181","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmYg,"125","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZA,"150",84.42951622,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZg,"74",7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,"0","0","0","0","0","-99","68","187","8"
"455","454",-97.69584697,27.66759297,22.950243,"60","10","2008",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwYQ,SORGHUM,-0.938118279,0.02015987,1.417576671,1.919448972,53.58162689,"63000","0",84G62,,,,,,,"0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMg,"115",,,,,,,,,,0.252449341,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMw,"181","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmYg,"125","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZA,"150",83.30379181,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZg,"74",7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,"0","0","0","0","0","-99","68","187","8"
"454","453",-97.69594697,27.66759297,60.64233,"60","9","2008",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwYQ,SORGHUM,-1.520901322,,1.166828156,0.927048087,52.7714653,"63000","0",84G62,,,,,,,"0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMg,"115",,,,,,,,,,0.252449341,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMw,"181","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmYg,"125","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZA,"150",79.84001369,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZg,"74",7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,"0","0","0","0","0","-99","68","187","8"
"346","345",-97.69544697,27.66769297,13.370426,"59","14","2008",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwYQ,SORGHUM,-0.739875615,0.012630526,1.064605713,2.567427874,53.85721588,"63000","0",84G62,,,,,,,"0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMg,"115",,,,,,,,,,0.244234619,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMw,"181","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmYg,"125","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZA,"150",88.81696472,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZg,"74",7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,"0","0","0","0","0","-99","68","187","8"
"347","346",-97.69534697,27.66769297,68.953186,"59","15","2008",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwYQ,SORGHUM,-0.779996693,0.014725866,1.215580225,2.154046774,53.80144119,"63000","0",84G62,,,,,,,"0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMg,"115",,,,,,,,,,0.23474987,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMw,"181","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmYg,"125","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZA,"150",78.71428928,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZg,"74",7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,"0","0","0","0","0","-99","68","187","8"
"344","343",-97.69564697,27.66769297,1.4914783,"59","12","2008",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwYQ,SORGHUM,-0.593550801,0.020178266,1.17369318,2.865835667,54.0606308,"63000","0",84G62,,,,,,,"0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMg,"115",,,,,,,,,,0.259329834,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMw,"181","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmYg,"125","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZA,"150",112.9190666,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZg,"74",7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,"0","0","0","0","0","-99","68","187","8"
"345","344",-97.69554697,27.66769297,2.7901702,"59","13","2008",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwYQ,SORGHUM,-0.76583451,0.014767485,0.980079532,2.603000402,53.82112885,"63000","0",84G62,,,,,,,"0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMg,"115",,,,,,,,,,0.246103363,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMw,"181","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmYg,"125","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZA,"150",87.89328918,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZg,"74",7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,"0","0","0","0","0","-99","68","187","8"
"342","341",-97.69584697,27.66769297,2.7671614,"59","10","2008",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwYQ,SORGHUM,-0.756394923,0.012611322,1.187104821,2.26876235,53.8342514,"63000","0",84G62,,,,,,,"0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMg,"115",,,,,,,,,,0.23288969,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMw,"181","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmYg,"125","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZA,"150",82.7264946,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZg,"74",7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,"0","0","0","0","0","-99","68","187","8"
"343","342",-97.69574697,27.66769297,67.817955,"59","11","2008",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwYQ,SORGHUM,-0.961720049,0.017538449,0.99005127,2.200438976,53.54881668,"63000","0",84G62,,,,,,,"0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMg,"115",,,,,,,,,,0.301720467,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMw,"181","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmYg,"125","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZA,"150",82.66876488,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZg,"74",7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,"0","0","0","0","0","-99","68","187","8"
"341","340",-97.69594697,27.66769297,49.160748,"59","9","2008",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwYQ,SORGHUM,-1.379299045,,0.978419363,1.216101646,52.96831512,"63000","0",84G62,,,,,,,"0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMg,"115",,,,,,,,,,0.23288969,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMTAwMw,"181","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmYg,"125","0",MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZA,"150",78.13699207,MjIyMjY1XzVhNDUxODEzZWJhOTE1MGFiNGZmMGZmZg,"74",7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,"0","0","0","0","0","-99","68","187","8"
